🔍 APEX HUNTER TP/SL VERIFICATION REPORT - 2026-04-22 19:36:26
====================================================================================================
SYMBOL               | SIDE  | STATUS   | PNL % (ROE)  | EXCEEDS 5%?
NFP/USDT:USDT        | buy   | CLOSED   |      12.70% | ✅ No
FIGHT/USDT:USDT      | buy   | CLOSED   |     -15.38% | ⚠️ YES
TAKE/USDT:USDT       | buy   | CLOSED   |     -10.07% | ⚠️ YES
BR/USDT:USDT         | buy   | CLOSED   |      -3.00% | ✅ No
SPK/USDT:USDT        | buy   | CLOSED   |      18.62% | ✅ No
AKE/USDT:USDT        | buy   | CLOSED   |     -15.12% | ⚠️ YES
JTO/USDT:USDT        | buy   | CLOSED   |      -6.38% | ⚠️ YES
PARTI/USDT:USDT      | buy   | CLOSED   |       3.15% | ✅ No
MBOX/USDT:USDT       | buy   | CLOSED   |      -6.37% | ⚠️ YES
AXL/USDT:USDT        | sell  | CLOSED   |      -5.51% | ⚠️ YES
